T_K,species,composition_ref,source,anchor_class,log10P_anchor,log10P_model,residual,status,model_side,note
1875.0,Fe,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-6.96331,-6.45808,0.505234,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1875.0,FeO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-7.21312,-6.81028,0.402842,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1875.0,Mg,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-8.75551,-8.23544,0.520067,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1875.0,O2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-4.98281,-4.9828,4.63485e-06,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1875.0,SiO2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-8.17631,-7.9403,0.236013,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1900.0,Na,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-4.26887,-4.27264,-0.00377165,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1900.0,K,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-5.48498,-5.17142,0.313566,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1900.0,SiO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-7.46702,-6.66121,0.805816,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1900.0,Fe,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-6.79519,-6.29107,0.504115,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1900.0,FeO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-7.05177,-6.64428,0.407487,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
