sheet,T_K,species,class,log10P_workbook,log10P_shadow,envelope_status,gas_channel_in_domain,refusal_code
tho,1875,FeO,PASS,-7.213117386805906,-7.2119235895949414,inside,False,
tho,1875,Na,K-NA-INFORMATIONAL,-4.3929623144115766,-5.7482253886989216,inside,True,
tho,1875,K,K-NA-INFORMATIONAL,-5.6103920464434589,-7.891925353963499,inside,True,
tho,1900,O2,UNGATEABLE,-4.8594844150102556,-4.8595045662952785,inside,,
tho,1900,Mg,FAIL,-8.5632327842434997,-8.6325403302658401,inside,False,
tho,1900,SiO,FAIL,-7.4670236908355712,-6.8781620818152645,inside,False,
tho,1900,SiO2,FAIL,-7.9732919089217811,-7.9464997461574587,inside,False,
tho,1900,Fe,FAIL,-6.7951881404886239,-6.6808709235989152,inside,False,
tho,1900,FeO,PASS,-7.0517721868160148,-7.0341987167566602,inside,False,
tho,1900,Na,K-NA-INFORMATIONAL,-4.2688692984187604,-5.6243541425487322,inside,True,
tho,1900,K,K-NA-INFORMATIONAL,-5.4849830113249674,-7.7667608364738987,inside,True,
tho,2000,O2,UNGATEABLE,-4.3970722871408103,-4.3971377859866152,inside,,
tho,2000,Mg,PASS,-7.8439669177215725,-7.8433307112091715,inside,False,
tho,2000,SiO,FAIL,-6.6264342871970792,-6.0461029647661757,inside,True,
tho,2000,SiO2,FAIL,-7.2090202389979208,-7.154630710875197,inside,False,
tho,2000,Fe,FAIL,-6.1658979806165837,-6.0141014821642376,inside,False,
tho,2000,FeO,FAIL,-6.447934009308204,-6.3715524491231648,inside,False,
tho,2000,Na,K-NA-INFORMATIONAL,-3.8031238686688695,-5.1598583999086873,inside,True,
tho,2000,K,K-NA-INFORMATIONAL,-5.0171793701778231,-7.2975992102500937,inside,True,
tho,2125,O2,UNGATEABLE,-3.880654357003984,-3.8806436486661795,inside,,
tho,2125,Mg,FAIL,-7.0434708802024772,-6.9760924103825124,inside,False,
tho,2125,SiO,FAIL,-5.6811077036676032,-5.1196587761168528,inside,True,
tho,2125,SiO2,FAIL,-6.349187648017268,-6.2723718391436112,inside,False,
tho,2125,Fe,FAIL,-5.4648624061142579,-5.2759234509451742,inside,False,
tho,2125,FeO,FAIL,-5.7755423045140493,-5.6388160015777524,inside,False,
tho,2125,Na,K-NA-INFORMATIONAL,-3.2825871549689927,-4.6412052631815159,inside,True,
tho,2125,K,K-NA-INFORMATIONAL,-4.4996507111100277,-6.7738968908183894,inside,True,
tho,2250,O2,UNGATEABLE,-3.4217377240756495,-3.4216645672984001,inside,,
tho,2250,Mg,FAIL,-6.3352307628472069,-6.2197138641621033,inside,False,
tho,2250,SiO,FAIL,-4.8356206709067688,-4.2995316947243865,inside,True,
