sheet,T_K,species,class,log10P_workbook,log10P_shadow,envelope_status,gas_channel_in_domain,refusal_code
dun,2250,Na,K-NA-INFORMATIONAL,-2.5426851746621737,-3.5491762869807997,inside,True,
dun,2250,K,K-NA-INFORMATIONAL,-3.3724165385515614,-4.6534969517535449,inside,True,
dun,2375,O2,UNGATEABLE,-2.7457800031594912,-2.7459170381630855,inside,,
dun,2375,Mg,FAIL,-4.5957512649092163,-4.4135019313484918,inside,False,
dun,2375,SiO,FAIL,-4.9104781547926164,-4.4567705345145052,inside,True,
dun,2375,SiO2,FAIL,-5.5899889810260017,-5.5491311970726027,inside,False,
dun,2375,Fe,FAIL,-4.4240817457522423,-4.1320643105314936,inside,False,
dun,2375,FeO,FAIL,-4.6504452732188426,-4.3737873905331321,inside,False,
dun,2375,Na,K-NA-INFORMATIONAL,-2.1713438407329786,-3.1765251548710736,inside,True,
dun,2375,K,K-NA-INFORMATIONAL,-3.0240762697809247,-4.2279611279499871,inside,True,
dun,2500,O2,UNGATEABLE,-2.4210152108195802,-2.4209818559090337,inside,,
dun,2500,Mg,FAIL,-4.0059109668362556,-3.7988762073924192,inside,False,
dun,2500,SiO,FAIL,-4.1762019965507049,-3.7595161649862248,inside,True,
dun,2500,SiO2,FAIL,-4.9393493681340592,-4.9038840709558418,inside,False,
dun,2500,Fe,FAIL,-3.9169483918807075,-3.6223813734648624,inside,False,
dun,2500,FeO,FAIL,-4.1862557313934889,-3.8922683132280236,inside,False,
dun,2500,Na,K-NA-INFORMATIONAL,-1.8395206641768405,-2.8460738388304216,inside,True,
dun,2500,K,K-NA-INFORMATIONAL,-2.7111661452615485,-3.8476903575616563,inside,True,
